id,name,priceUsd,date_time,key_id_date_time
bitcoin,Bitcoin,62357.1190296937,2024-09-20 20:38:43,bitcoin|2024-09-20 20:38:43
ethereum,Ethereum,2396.2203862680444,2024-09-20 20:38:43,ethereum|2024-09-20 20:38:43
tether,Tether,1.000742905244236,2024-09-20 20:38:43,tether|2024-09-20 20:38:43
binance-coin,BNB,560.6392603348322,2024-09-20 20:38:43,binance-coin|2024-09-20 20:38:43
solana,Solana,135.46601793409476,2024-09-20 20:38:43,solana|2024-09-20 20:38:43
usd-coin,USDC,1.0005715586491448,2024-09-20 20:38:43,usd-coin|2024-09-20 20:38:43
xrp,XRP,0.5892652794563472,2024-09-20 20:38:43,xrp|2024-09-20 20:38:43
steth,Lido Staked ETH,2394.22031660775,2024-09-20 20:38:43,steth|2024-09-20 20:38:43
dogecoin,Dogecoin,0.1050634389054171,2024-09-20 20:38:43,dogecoin|2024-09-20 20:38:43
tron,TRON,0.1498307639209976,2024-09-20 20:38:43,tron|2024-09-20 20:38:43
cardano,Cardano,0.3495885491153053,2024-09-20 20:38:43,cardano|2024-09-20 20:38:43
avalanche,Avalanche,25.778751223777082,2024-09-20 20:38:43,avalanche|2024-09-20 20:38:43
wrapped-bitcoin,Wrapped Bitcoin,62277.50885919272,2024-09-20 20:38:43,wrapped-bitcoin|2024-09-20 20:38:43
shiba-inu,Shiba Inu,1.38888474337e-05,2024-09-20 20:38:43,shiba-inu|2024-09-20 20:38:43
bitcoin-cash,Bitcoin Cash,339.9890499027528,2024-09-20 20:38:43,bitcoin-cash|2024-09-20 20:38:43
chainlink,Chainlink,11.048871738659434,2024-09-20 20:38:43,chainlink|2024-09-20 20:38:43
polkadot,Polkadot,4.239438247422786,2024-09-20 20:38:43,polkadot|2024-09-20 20:38:43
multi-collateral-dai,Multi Collateral DAI,1.0014368265785083,2024-09-20 20:38:43,multi-collateral-dai|2024-09-20 20:38:43
unus-sed-leo,UNUS SED LEO,5.707363433782041,2024-09-20 20:38:43,unus-sed-leo|2024-09-20 20:38:43
near-protocol,NEAR Protocol,4.526363105007254,2024-09-20 20:38:43,near-protocol|2024-09-20 20:38:43
litecoin,Litecoin,65.35927130130652,2024-09-20 20:38:43,litecoin|2024-09-20 20:38:43
uniswap,Uniswap,6.823513947752847,2024-09-20 20:38:43,uniswap|2024-09-20 20:38:43
